0,1,2,3,4,5,6,7,8,9,10,11,12
402270,7,.04,78,7,.04,71,5,.03,71,4,.02,78
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,9,.05,71,9,.05,71,4,.03,71,0,0,0
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,18,.1,71,11,.0694,65,5,.05,65,3,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,7,.03,78,8,.05,71,5,.03,71,2,.04,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,9,.05,71,7,.04,78,7,.05,71,2,.01,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,10,.05,78,5,.03,71,2,.01,65,2,.05,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,12,.0694,71,8,.04,71,6,.06,71,2,.01,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,11,.06,71,7,.05,71,4,.03,65,4,.02,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,16,.09,78,10,.06,65,10,.08,60,7,.05,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,5,.03,71,8,.04,71,5,.03,71,3,.02,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,9,.06,71,11,.0694,71,3,.01,71,5,.03,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,16,.09,71,7,.04,71,2,.01,71,2,.01,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,11,.0694,71,11,.0694,71,5,.03,65,1,.01,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,3,.02,71,4,.02,71,3,.02,71,1,.01,52
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,6,.03,71,7,.05,65,5,.04,65,2,.01,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,12,.06,78,9,.05,71,7,.04,78,1,0,78
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,2,.01,71,4,.02,71,3,.05,60,3,.04,60
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,7,.05,78,6,.04,71,1,.03,78,3,.04,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,9,.06,71,13,.0694,71,6,.04,71,6,.06,60
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,9,.05,71,11,.0694,71,6,.05,65,2,.01,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,6,.04,78,7,.04,65,7,.08,60,9,.06,60
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,2,.01,78,3,.02,71,1,.01,65,0,0,0
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,6,.03,71,6,.04,65,5,.03,65,2,.01,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,10,.06,71,8,.05,65,4,.03,71,3,.02,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,10,.06,71,7,.0694,60,6,.0694,60,0,0,0
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,8,.05,71,3,.02,65,4,.02,65,1,.01,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,6,.04,71,9,.05,65,4,.03,65,3,.02,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,2,.01,71,7,.05,71,5,.05,65,1,.01,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,10,.06,71,9,.05,71,4,.03,65,1,.01,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,4,.02,71,9,.05,71,4,.04,60,4,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,12,.0694,71,11,.0694,65,5,.06,60,1,0,56
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,8,.05,71,4,.02,65,9,.13,56,1,.01,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,16,.09,71,14,.09,65,7,.04,65,5,.03,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,2,.01,71,2,.01,65,4,.02,60,0,0,0
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,9,.04,78,6,.04,71,5,.03,71,1,.01,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,3,.02,71,5,.03,71,3,.03,65,2,.01,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,7,.04,71,3,.02,65,1,0,71,0,0,0
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,13,.08,71,8,.06,65,5,.04,65,4,.0694,65
