0,1,2,3,4,5,6,7,8,9
402267,0,1,0,7,.045,71,9,.05,65
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,11,.0694,71,3,.03,56
402265,15,.1,65,12,.08,71,3,.02,71
402266,0,0,0,0,0,0,0,0,0
402267,0,1,0,7,.0417,71,5,.0311,65
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,12,.08,71,9,.06,65
402265,11,.08,60,12,.08,65,9,.06,65
402266,0,0,0,0,0,0,0,0,0
402267,0,1,0,10,.06,71,11,.07,65
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,8,.05,71,6,.06,71
402265,6,.04,71,7,.05,71,5,.03,71
402266,0,0,0,0,0,0,0,0,0
402267,0,1,0,13,.08,78,6,.0678,71
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,12,.0694,71,5,.04,71
402265,17,.11,71,8,.05,71,8,.06,65
402266,0,0,0,0,0,0,0,0,0
402267,0,1,0,11,.0689,71,10,.06,60
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,15,.09,71,5,.05,56
402265,15,.09,78,12,.08,71,5,.06,71
402266,0,0,0,0,0,0,0,0,0
402267,0,1,0,11,.0567,78,7,.0572,65
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,13,.1,71,7,.04,71
402265,14,.09,71,9,.05,71,9,.06,71
402266,0,0,0,0,0,0,0,0,0
402267,0,1,0,10,.0511,78,5,.0306,65
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,6,.04,71,4,.02,71
402265,10,.06,65,12,.0694,78,7,.04,65
402266,0,0,0,0,0,0,0,0,0
402267,0,1,0,8,.0506,71,8,.0472,65
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,9,.05,71,5,.04,60
402265,7,.04,71,11,.06,71,3,.04,65
402266,0,0,0,0,0,0,0,0,0
402267,0,1,0,14,.0861,65,10,.0856,56
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,12,.0694,71,5,.04,71
402265,11,.0694,71,7,.05,71,7,.04,71
402266,0,0,0,0,0,0,0,0,0
402267,1,.9822,0,8,.0578,65,7,.0833,56
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,6,.04,71,5,.05,65
402265,21,.13,71,14,.09,65,8,.0694,65
